arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,2,8,0.4122972970941412,0.5412262517246667,0.5250062829856748,0.34406191879820713
DeepSleepNet,2,9,0.4019247978094623,0.5640576878239434,0.568598779958418,0.3808084089483297
DeepSleepNet,2,10,0.39016734998228497,0.615055529655022,0.6214900957298545,0.43802603628396763
DeepSleepNet,2,11,0.3787347684248028,0.5849342114963839,0.5847746121684297,0.40267479713619314
DeepSleepNet,2,12,0.3734866326233762,0.6146863634722967,0.64024766387169,0.4569509928365676
DeepSleepNet,2,13,0.36541159903364523,0.6248840291602331,0.6458223857067787,0.4659049787116931
DeepSleepNet,2,14,0.3537873640007644,0.6087505589043968,0.6044460691356897,0.42659061975391066
DeepSleepNet,2,15,0.35036517071324436,0.6298557320914779,0.6517855102926728,0.47359229065442265
DeepSleepNet,2,16,0.3402136179368848,0.628932009988296,0.6779227306998103,0.49640885290007786
DeepSleepNet,2,17,0.33565067899014267,0.5979148491111297,0.6073019717151409,0.4249436635346979
DeepSleepNet,2,18,0.3272350484436039,0.6205576324821128,0.6500719687450022,0.4690778308954524
DeepSleepNet,2,19,0.3222775546972387,0.6014741042368824,0.7033288400466083,0.5125154204054903
DeepSleepNet,2,20,0.31498823543635074,0.6622710211020408,0.7011583540862254,0.5270459227997402
DeepSleepNet,2,21,0.3091451344198735,0.6641145816879097,0.7217436998789097,0.5501751007663394
DeepSleepNet,2,22,0.30206024286258826,0.6321021160225605,0.6704973839932372,0.48915913454534155
DeepSleepNet,2,23,0.3005721293163801,0.6179088115859257,0.6555553016975485,0.47319445220348466
DeepSleepNet,2,24,0.2928829536957342,0.6799655325927242,0.7804610569124266,0.6207948990158145
DeepSleepNet,2,25,0.2896211578122499,0.6184875120695157,0.6341931504032534,0.4532825840891438
DeepSleepNet,2,26,0.28480098594468517,0.6532873743173873,0.7289634215997624,0.552621921551776
DeepSleepNet,2,27,0.27805875183252615,0.6716988578710299,0.7634398775388974,0.5974790124829168
DeepSleepNet,2,28,0.2771214700528145,0.6637966843888975,0.7788389042472983,0.6131224625909533
DeepSleepNet,2,29,0.2701108898236662,0.6949166929727688,0.8245333455185176,0.6772935381582588
DeepSleepNet,2,30,0.26475612010712024,0.6470672952807928,0.7616349471086842,0.5889140947886732
DeepSleepNet,2,31,0.2628790635447913,0.6851338208654528,0.7902396673444676,0.6325474428543134
DeepSleepNet,2,32,0.25949074138036093,0.6362423500196305,0.7175398112819575,0.5441699798002988
DeepSleepNet,2,33,0.2507499556171976,0.6976976883739798,0.829079942425004,0.6825190096917166
DeepSleepNet,2,34,0.24937605146508218,0.6919269641823285,0.8069181384084626,0.6531105065632681
DeepSleepNet,2,35,0.24348638606952128,0.6601451807706777,0.7778564737599671,0.6085252394152858
DeepSleepNet,2,36,0.2387692405060371,0.7064619109691346,0.8361397336014074,0.6977402196458673
DeepSleepNet,2,37,0.23710948651120678,0.6826542545313476,0.8154173044849095,0.6645244388317001
DeepSleepNet,2,38,0.2302795786487117,0.6981870914224599,0.8363910530283991,0.692004753874096
DeepSleepNet,2,39,0.22778039107212172,0.7032807983532974,0.8476547328017546,0.7089271371894066
DeepSleepNet,2,40,0.2223967854717269,0.6923349262776008,0.8276405675249606,0.682350465900212
DeepSleepNet,2,41,0.22031275486234583,0.6778667102887102,0.8112591103292285,0.6566648214294567
DeepSleepNet,2,42,0.21789257157659578,0.7143776898333745,0.8463067467842537,0.7118388688296985
DeepSleepNet,2,43,0.21473749417541896,0.6946815995515822,0.8215403596152528,0.6730469508795685
DeepSleepNet,2,44,0.20987335695117829,0.7099379881998448,0.8591697320021019,0.7280890944031904
DeepSleepNet,2,45,0.2081203699830023,0.7065390409951939,0.8621170234640956,0.733660441818837
DeepSleepNet,2,46,0.20481199986044382,0.7062794482957153,0.8421942470698439,0.7029779974655549
DeepSleepNet,2,47,0.20187027500887672,0.7083953197817124,0.8523612602526902,0.7179578372535405
DeepSleepNet,2,48,0.19869350679692632,0.6961864839546876,0.8162398044277913,0.6664800285090293
DeepSleepNet,2,49,0.19353203034053926,0.708233525153237,0.8642189677625717,0.7372215439302039
DeepSleepNet,2,50,0.19208029196497395,0.7168746895975566,0.85741049601316,0.7273310741467371
DeepSleepNet,3,1,0.8563657044928248,0.3270911375707072,0.249010989010989,0.14850681114475228
DeepSleepNet,3,2,0.5931773973456244,0.4016508258500001,0.34705738705738703,0.22731254416994473
DeepSleepNet,3,3,0.5364913162007564,0.4315314723893306,0.39992673992673994,0.26752978105554126
DeepSleepNet,3,4,0.5080284059411142,0.43079914303969724,0.35748473748473747,0.2351811530962873
DeepSleepNet,3,5,0.47844391274742964,0.5154419567338607,0.45897435897435895,0.3011459956319479
DeepSleepNet,3,6,0.45975161759955124,0.4592960518461533,0.42644688644688644,0.2862496518631584
DeepSleepNet,3,7,0.4407446745982984,0.4622055407806222,0.4301831501831502,0.27079963771583193
DeepSleepNet,3,8,0.4290775012860938,0.47077368071328934,0.4835897435897436,0.3282724224517999
DeepSleepNet,3,9,0.41334222429772705,0.5181594797998477,0.5549206349206349,0.38442316493179196
DeepSleepNet,3,10,0.4045168844047116,0.4488786766871563,0.4585836385836386,0.2899293014021953
DeepSleepNet,3,11,0.3916309884045182,0.5005218076997597,0.4968742368742369,0.33194960186353073
DeepSleepNet,3,12,0.38592578719301923,0.4731158711334812,0.5235409035409035,0.3619490646798659
DeepSleepNet,3,13,0.3746664795642946,0.538081748849096,0.5947741147741148,0.42013034433671426
DeepSleepNet,3,14,0.36726324945324806,0.5176513315021241,0.5293284493284494,0.3607028323487833
DeepSleepNet,3,15,0.36052319202117805,0.5766187637132237,0.7119169719169719,0.5472441722141875
DeepSleepNet,3,16,0.3546138213901985,0.5478068986267767,0.5905250305250305,0.4198687996344448
